problem,algorithm,noise_pct,trial,auc10,final_hv,regret,n_batches,time
ZDT2,EGBO,0,0,991.723383,111.801285,6.092449,12,0.00
ZDT2,EGBO,0,1,945.186298,111.155149,6.738585,12,0.00
ZDT2,EGBO,0,2,1061.648509,120.080287,-2.186553,12,0.00
ZDT2,EGBO,0,3,1079.158377,120.241619,-2.347885,12,0.00
ZDT2,EGBO,0,4,1068.543721,119.879668,-1.985934,12,0.00
ZDT2,EGBO,0,5,984.525889,111.684560,6.209175,12,0.00
ZDT2,EGBO,0,6,1026.056078,120.157819,-2.264084,12,0.00
ZDT2,EGBO,0,7,962.797174,111.523654,6.370080,12,0.00
ZDT2,EGBO,0,8,1077.665087,120.261165,-2.367431,12,0.00
ZDT2,EGBO,0,9,1046.680160,119.381913,-1.488178,12,0.00
ZDT2,EGBO,1,0,1080.483288,120.219718,-2.325984,12,0.00
ZDT2,EGBO,1,1,942.726988,109.370908,8.522826,12,0.00
ZDT2,EGBO,1,2,1073.242889,120.142783,-2.249049,12,0.00
ZDT2,EGBO,1,3,1080.952100,120.236018,-2.342283,12,0.00
ZDT2,EGBO,1,4,1076.284116,120.162212,-2.268477,12,0.00
ZDT2,EGBO,1,5,987.690800,112.836490,5.057244,12,0.00
ZDT2,EGBO,1,6,1079.229152,120.186295,-2.292560,12,0.00
ZDT2,EGBO,1,7,991.689216,111.663836,6.229898,12,0.00
ZDT2,EGBO,1,8,1078.932648,120.157783,-2.264048,12,0.00
ZDT2,EGBO,1,9,1061.932222,119.866837,-1.973102,12,0.00
ZDT2,EGBO,5,0,1004.725181,113.040740,4.852994,12,0.00
ZDT2,EGBO,5,1,948.949328,119.991251,-2.097517,12,0.00
ZDT2,EGBO,5,2,1074.336910,120.218767,-2.325032,12,0.00
ZDT2,EGBO,5,3,1077.378649,120.306851,-2.413117,12,0.00
ZDT2,EGBO,5,4,993.841080,113.213125,4.680609,12,0.00
ZDT2,EGBO,5,5,1061.806420,120.202171,-2.308437,12,0.00
ZDT2,EGBO,5,6,1057.456598,119.985602,-2.091867,12,0.00
ZDT2,EGBO,5,7,970.266137,110.427900,7.465835,12,0.00
ZDT2,EGBO,5,8,1071.864479,120.201852,-2.308118,12,0.00
ZDT2,EGBO,5,9,1038.702943,118.533903,-0.640169,12,0.00
ZDT2,EGBO,10,0,1056.883332,120.123869,-2.230135,12,0.00
ZDT2,EGBO,10,1,1043.972228,120.162450,-2.268716,12,0.00
ZDT2,EGBO,10,2,973.626463,111.305487,6.588248,12,0.00
ZDT2,EGBO,10,3,1071.681520,120.228571,-2.334837,12,0.00
ZDT2,EGBO,10,4,981.177802,114.363530,3.530204,12,0.00
ZDT2,EGBO,10,5,1009.680900,120.275012,-2.381278,12,0.00
ZDT2,EGBO,10,6,1007.312805,115.907651,1.986083,12,0.00
ZDT2,EGBO,10,7,1051.564961,120.166369,-2.272635,12,0.00
ZDT2,EGBO,10,8,995.508499,112.208352,5.685382,12,0.00
ZDT2,EGBO,10,9,1026.748165,117.958532,-0.064797,12,0.00
ZDT2,EGBO,20,0,1036.139022,119.281741,-1.388007,12,0.00
ZDT2,EGBO,20,1,948.047584,110.341217,7.552517,12,0.00
ZDT2,EGBO,20,2,944.067168,109.851230,8.042504,12,0.00
ZDT2,EGBO,20,3,919.464366,107.199196,10.694538,12,0.00
ZDT2,EGBO,20,4,960.649189,119.633897,-1.740162,12,0.00
ZDT2,EGBO,20,5,966.112298,114.431930,3.461804,12,0.00
ZDT2,EGBO,20,6,978.716106,120.193360,-2.299625,12,0.00
ZDT2,EGBO,20,7,948.494133,116.561706,1.332028,12,0.00
ZDT2,EGBO,20,8,1055.475940,120.067024,-2.173289,12,0.00
ZDT2,EGBO,20,9,967.277257,119.881905,-1.988170,12,0.00
ZDT2,Traditional_NEHVI,0,0,986.306784,119.962695,-2.068961,12,0.00
ZDT2,Traditional_NEHVI,0,1,937.847204,120.137021,-2.243286,12,0.00
ZDT2,Traditional_NEHVI,0,2,1024.802950,114.001686,3.892048,12,0.00
ZDT2,Traditional_NEHVI,0,3,1039.814895,115.534988,2.358746,12,0.00
ZDT2,Traditional_NEHVI,0,4,1021.205760,113.917482,3.976252,12,0.00
ZDT2,Traditional_NEHVI,0,5,1014.983221,112.795771,5.097963,12,0.00
ZDT2,Traditional_NEHVI,0,6,995.067395,120.134790,-2.241056,12,0.00
ZDT2,Traditional_NEHVI,0,7,1069.629380,120.000000,-2.106266,12,0.00
ZDT2,Traditional_NEHVI,0,8,1034.936448,114.997793,2.895941,12,0.00
ZDT2,Traditional_NEHVI,0,9,1004.810894,120.000000,-2.106266,12,0.00
ZDT2,Traditional_NEHVI,1,0,1067.393393,118.599266,-0.705532,12,0.00
ZDT2,Traditional_NEHVI,1,1,895.726220,120.000000,-2.106266,12,0.00
ZDT2,Traditional_NEHVI,1,2,1038.936455,115.437384,2.456350,12,0.00
ZDT2,Traditional_NEHVI,1,3,1078.041711,119.996328,-2.102594,12,0.00
ZDT2,Traditional_NEHVI,1,4,1053.076375,117.535735,0.357999,12,0.00
ZDT2,Traditional_NEHVI,1,5,1035.930076,115.172081,2.721653,12,0.00
ZDT2,Traditional_NEHVI,1,6,1066.095683,118.707269,-0.813535,12,0.00
ZDT2,Traditional_NEHVI,1,7,1020.227179,120.119852,-2.226118,12,0.00
ZDT2,Traditional_NEHVI,1,8,1023.587736,113.766446,4.127288,12,0.00
ZDT2,Traditional_NEHVI,1,9,1037.607864,119.602981,-1.709247,12,0.00
ZDT2,Traditional_NEHVI,5,0,990.867571,110.252763,7.640971,12,0.00
ZDT2,Traditional_NEHVI,5,1,996.131555,111.532233,6.361501,12,0.00
ZDT2,Traditional_NEHVI,5,2,987.403815,120.000000,-2.106266,12,0.00
ZDT2,Traditional_NEHVI,5,3,1007.972590,111.996954,5.896780,12,0.00
ZDT2,Traditional_NEHVI,5,4,996.386911,111.465761,6.427974,12,0.00
ZDT2,Traditional_NEHVI,5,5,949.537852,105.721641,12.172093,12,0.00
ZDT2,Traditional_NEHVI,5,6,1013.982771,119.924315,-2.030580,12,0.00
ZDT2,Traditional_NEHVI,5,7,1033.971265,119.965920,-2.072186,12,0.00
ZDT2,Traditional_NEHVI,5,8,1067.506774,120.000000,-2.106266,12,0.00
ZDT2,Traditional_NEHVI,5,9,1071.074359,120.000000,-2.106266,12,0.00
ZDT2,Traditional_NEHVI,10,0,1049.790051,119.847146,-1.953411,12,0.00
ZDT2,Traditional_NEHVI,10,1,935.558423,104.447252,13.446482,12,0.00
ZDT2,Traditional_NEHVI,10,2,959.879053,119.741237,-1.847503,12,0.00
ZDT2,Traditional_NEHVI,10,3,1049.315662,117.437692,0.456043,12,0.00
ZDT2,Traditional_NEHVI,10,4,1011.771358,119.985661,-2.091927,12,0.00
ZDT2,Traditional_NEHVI,10,5,987.190347,120.000000,-2.106266,12,0.00
ZDT2,Traditional_NEHVI,10,6,1043.643769,118.762118,-0.868384,12,0.00
ZDT2,Traditional_NEHVI,10,7,987.941954,115.036858,2.856876,12,0.00
ZDT2,Traditional_NEHVI,10,8,988.175879,120.000000,-2.106266,12,0.00
ZDT2,Traditional_NEHVI,10,9,1009.225036,112.784654,5.109081,12,0.00
ZDT2,Traditional_NEHVI,20,0,1050.897609,119.929083,-2.035348,12,0.00
ZDT2,Traditional_NEHVI,20,1,953.457940,111.931167,5.962567,12,0.00
ZDT2,Traditional_NEHVI,20,2,1006.323726,115.037934,2.855800,12,0.00
ZDT2,Traditional_NEHVI,20,3,1034.973201,120.000000,-2.106266,12,0.00
ZDT2,Traditional_NEHVI,20,4,963.939454,119.916503,-2.022769,12,0.00
ZDT2,Traditional_NEHVI,20,5,929.628388,112.885196,5.008539,12,0.00
ZDT2,Traditional_NEHVI,20,6,910.580491,109.991652,7.902083,12,0.00
ZDT2,Traditional_NEHVI,20,7,998.745587,119.454967,-1.561233,12,0.00
ZDT2,Traditional_NEHVI,20,8,1041.284390,120.176138,-2.282403,12,0.00
ZDT2,Traditional_NEHVI,20,9,1038.369389,120.000000,-2.106266,12,0.00
ZDT3,EGBO,0,0,1069.119030,120.657488,3.078641,12,0.00
ZDT3,EGBO,0,1,1067.132563,125.047651,-1.311521,12,0.00
ZDT3,EGBO,0,2,1064.568301,120.610225,3.125904,12,0.00
ZDT3,EGBO,0,3,1113.758358,126.752433,-3.016304,12,0.00
ZDT3,EGBO,0,4,1079.295083,122.692182,1.043947,12,0.00
ZDT3,EGBO,0,5,1068.035583,122.985255,0.750874,12,0.00
ZDT3,EGBO,0,6,1097.197786,125.237833,-1.501703,12,0.00
ZDT3,EGBO,0,7,1061.382424,121.497584,2.238546,12,0.00
ZDT3,EGBO,0,8,1085.577982,120.955816,2.780314,12,0.00
ZDT3,EGBO,0,9,1063.173481,124.603153,-0.867023,12,0.00
ZDT3,EGBO,1,0,1062.693247,123.490204,0.245925,12,0.00
ZDT3,EGBO,1,1,1067.514523,122.438096,1.298034,12,0.00
ZDT3,EGBO,1,2,1072.978541,121.839483,1.896647,12,0.00
ZDT3,EGBO,1,3,1081.744877,121.955167,1.780962,12,0.00
ZDT3,EGBO,1,4,1074.242349,122.700654,1.035476,12,0.00
ZDT3,EGBO,1,5,1114.251958,125.301790,-1.565660,12,0.00
ZDT3,EGBO,1,6,1055.224179,118.798765,4.937364,12,0.00
ZDT3,EGBO,1,7,1051.831408,122.179234,1.556895,12,0.00
ZDT3,EGBO,1,8,1066.014374,119.774185,3.961944,12,0.00
ZDT3,EGBO,1,9,1050.393057,118.769012,4.967118,12,0.00
ZDT3,EGBO,5,0,1115.978758,125.216320,-1.480190,12,0.00
ZDT3,EGBO,5,1,1041.141392,118.308096,5.428033,12,0.00
ZDT3,EGBO,5,2,1081.863875,122.990089,0.746041,12,0.00
ZDT3,EGBO,5,3,1086.419417,121.973617,1.762512,12,0.00
ZDT3,EGBO,5,4,1064.927542,126.589629,-2.853500,12,0.00
ZDT3,EGBO,5,5,1079.860748,124.170791,-0.434662,12,0.00
ZDT3,EGBO,5,6,1090.350496,125.112009,-1.375879,12,0.00
ZDT3,EGBO,5,7,1060.822077,124.938069,-1.201939,12,0.00
ZDT3,EGBO,5,8,1064.988102,123.081596,0.654533,12,0.00
ZDT3,EGBO,5,9,1074.990261,124.981080,-1.244950,12,0.00
ZDT3,EGBO,10,0,1053.219045,117.184815,6.551315,12,0.00
ZDT3,EGBO,10,1,1041.662373,118.150523,5.585606,12,0.00
ZDT3,EGBO,10,2,1054.060375,117.942759,5.793371,12,0.00
ZDT3,EGBO,10,3,1087.173729,127.991996,-4.255867,12,0.00
ZDT3,EGBO,10,4,1062.745149,119.116233,4.619897,12,0.00
ZDT3,EGBO,10,5,1070.218695,120.624742,3.111388,12,0.00
ZDT3,EGBO,10,6,1044.234746,118.751463,4.984666,12,0.00
ZDT3,EGBO,10,7,1050.220122,118.095433,5.640696,12,0.00
ZDT3,EGBO,10,8,1056.326473,119.575383,4.160746,12,0.00
ZDT3,EGBO,10,9,1107.196895,127.725940,-3.989811,12,0.00
ZDT3,EGBO,20,0,1058.619314,118.440897,5.295232,12,0.00
ZDT3,EGBO,20,1,1043.255211,119.751560,3.984569,12,0.00
ZDT3,EGBO,20,2,1054.540557,117.824076,5.912053,12,0.00
ZDT3,EGBO,20,3,1056.841001,122.264603,1.471527,12,0.00
ZDT3,EGBO,20,4,1057.772789,119.269820,4.466310,12,0.00
ZDT3,EGBO,20,5,1052.802446,118.640349,5.095781,12,0.00
ZDT3,EGBO,20,6,1042.102398,117.171663,6.564467,12,0.00
ZDT3,EGBO,20,7,1066.669841,120.163666,3.572463,12,0.00
ZDT3,EGBO,20,8,1059.569757,122.545457,1.190673,12,0.00
ZDT3,EGBO,20,9,1081.728984,124.488369,-0.752239,12,0.00
ZDT3,Traditional_NEHVI,0,0,1072.773773,119.351467,4.384663,12,0.00
ZDT3,Traditional_NEHVI,0,1,1064.090621,118.386485,5.349644,12,0.00
ZDT3,Traditional_NEHVI,0,2,1059.816605,118.134183,5.601946,12,0.00
ZDT3,Traditional_NEHVI,0,3,1056.808119,118.831211,4.904918,12,0.00
ZDT3,Traditional_NEHVI,0,4,1085.056260,126.890414,-3.154284,12,0.00
ZDT3,Traditional_NEHVI,0,5,1066.156065,119.279197,4.456932,12,0.00
ZDT3,Traditional_NEHVI,0,6,1066.654749,127.063824,-3.327694,12,0.00
ZDT3,Traditional_NEHVI,0,7,1062.064711,118.540317,5.195812,12,0.00
ZDT3,Traditional_NEHVI,0,8,1104.885799,128.425075,-4.688945,12,0.00
ZDT3,Traditional_NEHVI,0,9,1065.051007,119.774385,3.961745,12,0.00
ZDT3,Traditional_NEHVI,1,0,1063.626697,121.291506,2.444624,12,0.00
ZDT3,Traditional_NEHVI,1,1,1061.746038,119.960234,3.775896,12,0.00
ZDT3,Traditional_NEHVI,1,2,1067.832833,120.193868,3.542262,12,0.00
ZDT3,Traditional_NEHVI,1,3,1062.135819,118.814652,4.921478,12,0.00
ZDT3,Traditional_NEHVI,1,4,1055.164850,118.081103,5.655027,12,0.00
ZDT3,Traditional_NEHVI,1,5,1073.796400,121.547986,2.188143,12,0.00
ZDT3,Traditional_NEHVI,1,6,1079.668625,128.157678,-4.421548,12,0.00
ZDT3,Traditional_NEHVI,1,7,1057.379188,122.764108,0.972022,12,0.00
ZDT3,Traditional_NEHVI,1,8,1121.684526,127.731882,-3.995752,12,0.00
ZDT3,Traditional_NEHVI,1,9,1059.673569,120.128991,3.607138,12,0.00
ZDT3,Traditional_NEHVI,5,0,1077.619201,120.291908,3.444222,12,0.00
ZDT3,Traditional_NEHVI,5,1,1072.778964,120.777383,2.958746,12,0.00
ZDT3,Traditional_NEHVI,5,2,1065.649602,119.276726,4.459403,12,0.00
ZDT3,Traditional_NEHVI,5,3,1056.969055,117.670371,6.065759,12,0.00
ZDT3,Traditional_NEHVI,5,4,1047.776097,122.142379,1.593750,12,0.00
ZDT3,Traditional_NEHVI,5,5,1111.116677,124.520343,-0.784213,12,0.00
ZDT3,Traditional_NEHVI,5,6,1062.264054,122.839465,0.896665,12,0.00
ZDT3,Traditional_NEHVI,5,7,1093.259063,123.729110,0.007019,12,0.00
ZDT3,Traditional_NEHVI,5,8,1069.635240,120.599908,3.136222,12,0.00
ZDT3,Traditional_NEHVI,5,9,1089.287780,125.391854,-1.655725,12,0.00
ZDT3,Traditional_NEHVI,10,0,1053.254502,117.048628,6.687501,12,0.00
ZDT3,Traditional_NEHVI,10,1,1044.513284,119.573284,4.162845,12,0.00
ZDT3,Traditional_NEHVI,10,2,1052.894530,117.370142,6.365987,12,0.00
ZDT3,Traditional_NEHVI,10,3,1057.425685,117.868598,5.867532,12,0.00
ZDT3,Traditional_NEHVI,10,4,1050.026755,117.276256,6.459874,12,0.00
ZDT3,Traditional_NEHVI,10,5,1070.392422,127.974191,-4.238061,12,0.00
ZDT3,Traditional_NEHVI,10,6,1043.496765,116.714910,7.021220,12,0.00
ZDT3,Traditional_NEHVI,10,7,1046.584086,120.208648,3.527482,12,0.00
ZDT3,Traditional_NEHVI,10,8,1078.609136,126.992503,-3.256373,12,0.00
ZDT3,Traditional_NEHVI,10,9,1053.474590,118.573007,5.163122,12,0.00
ZDT3,Traditional_NEHVI,20,0,1049.034323,117.081385,6.654745,12,0.00
ZDT3,Traditional_NEHVI,20,1,1038.089261,115.997378,7.738752,12,0.00
ZDT3,Traditional_NEHVI,20,2,1050.278862,116.845400,6.890729,12,0.00
ZDT3,Traditional_NEHVI,20,3,1056.878684,117.968683,5.767447,12,0.00
ZDT3,Traditional_NEHVI,20,4,1045.972619,118.384985,5.351144,12,0.00
